SKU,Order,Delivery Date,Quantity
6883056,7998299,2014-04-23,1
6883056,6609767,2014-08-22,1
6883056,7963892,2014-05-05,1
6883056,7883032,2014-06-15,1
6883056,6474677,2014-09-25,1
15668519,6464624,2014-09-22,1
15668519,6744970,2014-07-16,1
15668519,7990063,2014-05-15,1
15668519,6653530,2014-07-28,1
15668519,6599006,2014-08-19,1
15668519,6548513,2014-09-10,1
15668519,6709005,2014-07-25,1
15668519,6582477,2014-09-02,1
15668519,7945994,2014-05-23,1
15668519,6616124,2014-08-24,1
15668519,6566380,2014-08-29,1
15668519,6553571,2014-09-11,1
15668519,6490335,2014-09-12,1
15668519,6529505,2014-09-05,1
15668519,7911721,2014-06-03,1
15668519,6692216,2014-07-21,1
15668519,6710580,2014-07-26,1
15668519,6590910,2014-08-16,1
15668519,8018522,2014-05-01,1
15668519,6629492,2014-08-08,1
15668519,7954249,2014-05-26,1
15668519,8058724,2014-04-21,1
15668519,8009949,2014-04-29,1
15668519,6577703,2014-09-01,1
15668519,6434174,2014-10-03,1
15668519,6608759,2014-08-22,1
15668519,6709142,2014-07-25,1
15668519,6505380,2014-09-15,1
15668519,6650022,2014-08-15,1
15668519,6709712,2014-07-26,1
15668519,6731014,2014-07-13,1
15668519,8053395,2014-04-19,1
15668519,6730368,2014-07-12,1
15668519,6787922,2014-06-20,1
15668519,6790596,2014-06-22,1
15668519,6498383,2014-09-14,1
15668519,6575514,2014-09-02,1
15668519,6542227,2014-09-09,1
15668519,8084649,2014-04-06,1
15668519,6533907,2014-09-07,1
15668519,6811176,2014-06-28,1
15668519,8085753,2014-04-06,1
15668519,6633000,2014-08-10,1
15668519,6543376,2014-09-09,1
15668519,6523071,2014-09-04,1
15668519,6704873,2014-07-24,1
15668519,8040495,2014-04-13,1
15668519,7942254,2014-05-22,1
15668519,6710275,2014-07-27,1
15668519,6618758,2014-08-24,1
15668519,7914224,2014-06-03,1
15668519,6710394,2014-07-26,1
15668519,6761550,2014-07-03,1
15668519,7900630,2014-05-31,1
15668519,7931542,2014-05-18,1
15668519,7960045,2014-05-28,1
15668519,6721708,2014-07-10,1
15668519,6505736,2014-09-16,1
15668519,6749038,2014-07-18,1
15668519,6788599,2014-06-21,1
15668519,6768214,2014-07-05,1
15668519,6591767,2014-08-17,1
15668519,8019766,2014-05-02,1
15668519,7913393,2014-06-03,1
15668519,8038299,2014-04-13,1
15668519,6713077,2014-07-26,1
15668519,7889622,2014-06-16,1
15668519,6639527,2014-08-11,1
15668519,6794064,2014-06-22,1
15668519,6538555,2014-09-07,1
15668519,8017300,2014-05-01,1
15668519,6571736,2014-08-30,1
15668519,6538994,2014-09-07,1
15668519,6677784,2014-08-04,1
15668519,6586085,2014-09-03,1
15668519,6510095,2014-09-17,1
15668519,8086192,2014-04-05,1
15668519,8021447,2014-05-03,1
15668519,8091703,2014-04-07,1
15668519,8060477,2014-04-22,1
15668519,6803555,2014-06-26,1
15668519,6500803,2014-09-15,1
15668519,6459656,2014-09-21,1
15668519,6591489,2014-08-17,1
15668519,6562909,2014-08-28,1
15668519,6716232,2014-07-27,1
15668519,6729204,2014-07-14,1
15668519,6671773,2014-08-02,1
